"HDI","Country","Edu2.FM","Life.Exp","mean.edu","GNI","Mat.Mor","Ado.Birth","Parli.F"
"148",0.536,"Myanmar",1.49673202614379,65.9,4.1,4608,200,12.1,4.7
"149",0.532,"Angola",NA,52.3,4.7,6822,460,170.2,36.8
"150",0.531,"Swaziland",0.842307692307692,49,7.1,5542,310,72,14.7
"151",0.521,"Tanzania (United Republic of)",0.589473684210526,65,5.1,2411,410,122.7,36
"152",0.514,"Nigeria",NA,52.8,5.9,5341,560,119.6,6.6
"153",0.512,"Cameroon",0.610315186246418,55.5,6,2803,590,115.8,27.1
"154",0.51,"Madagascar",NA,65.1,6,1328,440,122.8,20.5
"155",0.509,"Zimbabwe",0.785483870967742,57.5,7.3,1615,470,60.3,35.1
"156",0.506,"Mauritania",0.397129186602871,63.1,3.8,3560,320,73.3,22.2
"157",0.506,"Solomon Islands",NA,67.9,5,1540,130,64.9,2
"158",0.505,"Papua New Guinea",0.524137931034483,62.6,4,2463,220,62.1,2.7
"159",0.503,"Comoros",NA,63.3,4.6,1456,350,51.1,3
"160",0.498,"Yemen",0.322097378277154,63.8,2.6,3519,270,47,0.7
"161",0.497,"Lesotho",1.15263157894737,49.8,5.9,3306,490,89.4,26.8
"162",0.484,"Togo",0.399503722084367,59.7,4.5,1228,450,91.5,17.6
"163",0.483,"Haiti",0.636363636363636,62.8,4.9,1669,380,42,3.5
"164",0.483,"Rwanda",0.909090909090909,64.2,3.7,1458,320,33.6,57.5
"165",0.483,"Uganda",0.683582089552239,58.5,5.4,1613,360,126.6,35
"166",0.48,"Benin",0.418518518518519,59.6,3.3,1767,340,90.2,8.4
"167",0.479,"Sudan",0.664835164835165,63.5,3.1,3809,360,84,23.8
"168",0.47,"Djibouti",NA,62,3.8,3276,230,18.6,12.7
"169",0.467,"South Sudan",NA,55.7,5.4,2332,730,75.3,24.3
"170",0.466,"Senegal",0.467532467532468,66.5,2.5,2188,320,94.4,42.7
"171",0.465,"Afghanistan",0.197986577181208,60.4,3.2,1885,400,86.8,27.6
"172",0.462,"Côte d'Ivoire",0.465116279069767,51.5,4.3,3171,720,130.3,9.2
"173",0.445,"Malawi",0.513888888888889,62.8,4.3,747,510,144.8,16.7
"174",0.442,"Ethiopia",0.428571428571429,64.1,2.4,1428,420,78.4,25.5
"175",0.441,"Gambia",0.552380952380952,60.2,2.8,1507,430,115.8,9.4
"176",0.433,"Congo (Democratic Republic of the)",0.395061728395062,58.7,6,680,730,135.3,8.2
"177",0.43,"Liberia",0.391857506361323,60.9,4.1,805,640,117.4,10.7
"178",0.42,"Guinea-Bissau",NA,55.2,2.8,1362,560,99.3,13.7
"179",0.419,"Mali",0.509933774834437,58,2,1583,550,175.6,9.5
"180",0.416,"Mozambique",0.225806451612903,55.1,3.2,1123,480,137.8,39.6
"181",0.413,"Sierra Leone",0.460829493087558,50.9,3.1,1780,1100,100.7,12.4
"182",0.411,"Guinea",NA,58.8,2.4,1096,650,131,21.9
"183",0.402,"Burkina Faso",0.28125,58.7,1.4,1591,400,115.4,13.3
"184",0.4,"Burundi",0.63855421686747,56.7,2.7,758,740,30.3,34.9
"185",0.392,"Chad",0.171717171717172,51.6,1.9,2085,980,152,14.9
"186",0.391,"Eritrea",NA,63.7,3.9,1130,380,65.3,22
"187",0.35,"Central African Republic",0.378277153558052,50.7,4.2,581,880,98.3,12.5
"188",0.348,"Niger",0.307692307692308,61.4,1.5,908,630,204.8,13.3
"189",0.686,"Arab States",0.728991596638656,70.6,6.4,15722,155,45.4,14
"190",0.71,"East Asia and the Pacific",0.825037707390649,74,7.5,11449,72,21.2,18.7
"191",0.748,"Europe and Central Asia",0.878411910669975,72.3,10,12791,28,30.8,19
"192",0.748,"Latin America and the Caribbean",0.983695652173913,75,8.2,14242,85,68.3,27
"193",0.607,"South Asia",0.532967032967033,68.4,5.5,5605,183,38.7,17.5
"194",0.518,"Sub-Saharan Africa",0.701587301587302,58.5,5.2,3363,506,109.7,22.5
"195",0.711,"World",0.833333333333333,71.5,7.9,14301,210,47.4,21.8
